 placementid | shardid | shardstate | shardlength | groupid 
-------------+---------+------------+-------------+---------
           1 |  102008 |          1 |           0 |       0
           2 |  102008 |          1 |           0 |       1
           3 |  102008 |          1 |           0 |       2
           4 |  102008 |          1 |           0 |       3
           5 |  102008 |          1 |           0 |       4
           6 |  102008 |          1 |           0 |       5
           7 |  102008 |          1 |           0 |       6
           8 |  102008 |          1 |           0 |       7
           9 |  102008 |          1 |           0 |       8
          10 |  102008 |          1 |           0 |       9
          11 |  102009 |          1 |           0 |       0
          12 |  102009 |          1 |           0 |       1
          13 |  102009 |          1 |           0 |       2
          14 |  102009 |          1 |           0 |       3
          15 |  102009 |          1 |           0 |       4
          16 |  102009 |          1 |           0 |       5
          17 |  102009 |          1 |           0 |       6
          18 |  102009 |          1 |           0 |       7
          19 |  102009 |          1 |           0 |       8
          20 |  102009 |          1 |           0 |       9
          21 |  102010 |          1 |           0 |       0
          22 |  102010 |          1 |           0 |       1
          23 |  102010 |          1 |           0 |       2
          24 |  102010 |          1 |           0 |       3
          25 |  102010 |          1 |           0 |       4
          26 |  102010 |          1 |           0 |       5
          27 |  102010 |          1 |           0 |       6
          28 |  102010 |          1 |           0 |       7
          29 |  102010 |          1 |           0 |       8
          30 |  102010 |          1 |           0 |       9
          31 |  102011 |          1 |           0 |       0
          32 |  102011 |          1 |           0 |       1
          33 |  102011 |          1 |           0 |       2
          34 |  102011 |          1 |           0 |       3
          35 |  102011 |          1 |           0 |       4
          36 |  102011 |          1 |           0 |       5
          37 |  102011 |          1 |           0 |       6
          38 |  102011 |          1 |           0 |       7
          39 |  102011 |          1 |           0 |       8
          40 |  102011 |          1 |           0 |       9
          41 |  102012 |          1 |           0 |       0
          42 |  102012 |          1 |           0 |       1
          43 |  102012 |          1 |           0 |       2
          44 |  102012 |          1 |           0 |       3
          45 |  102012 |          1 |           0 |       4
          46 |  102012 |          1 |           0 |       5
          47 |  102012 |          1 |           0 |       6
          48 |  102012 |          1 |           0 |       7
          49 |  102012 |          1 |           0 |       8
          50 |  102012 |          1 |           0 |       9
          51 |  102013 |          1 |           0 |       0
          52 |  102013 |          1 |           0 |       1
          53 |  102013 |          1 |           0 |       2
          54 |  102013 |          1 |           0 |       3
          55 |  102013 |          1 |           0 |       4
          56 |  102013 |          1 |           0 |       5
          57 |  102013 |          1 |           0 |       6
          58 |  102013 |          1 |           0 |       7
          59 |  102013 |          1 |           0 |       8
          60 |  102013 |          1 |           0 |       9
          61 |  102014 |          1 |           0 |       1
          62 |  102015 |          1 |           0 |       2
          63 |  102016 |          1 |           0 |       3
          64 |  102017 |          1 |           0 |       4
          65 |  102018 |          1 |           0 |       5
          66 |  102019 |          1 |           0 |       6
          67 |  102020 |          1 |           0 |       7
          68 |  102021 |          1 |           0 |       8
          69 |  102022 |          1 |           0 |       9
          70 |  102023 |          1 |           0 |       1
          71 |  102024 |          1 |           0 |       2
          72 |  102025 |          1 |           0 |       3
          73 |  102026 |          1 |           0 |       4
          74 |  102027 |          1 |           0 |       5
          75 |  102028 |          1 |           0 |       6
          76 |  102029 |          1 |           0 |       7
          77 |  102030 |          1 |           0 |       8
          78 |  102031 |          1 |           0 |       9
          79 |  102032 |          1 |           0 |       1
          80 |  102033 |          1 |           0 |       2
          81 |  102034 |          1 |           0 |       3
          82 |  102035 |          1 |           0 |       4
          83 |  102036 |          1 |           0 |       5
          84 |  102037 |          1 |           0 |       6
          85 |  102038 |          1 |           0 |       7
          86 |  102039 |          1 |           0 |       8
          87 |  102040 |          1 |           0 |       9
          88 |  102041 |          1 |           0 |       1
          89 |  102042 |          1 |           0 |       2
          90 |  102043 |          1 |           0 |       3
          91 |  102044 |          1 |           0 |       4
          92 |  102045 |          1 |           0 |       5
          93 |  102046 |          1 |           0 |       1
          94 |  102047 |          1 |           0 |       2
          95 |  102048 |          1 |           0 |       3
          96 |  102049 |          1 |           0 |       4
          97 |  102050 |          1 |           0 |       5
          98 |  102051 |          1 |           0 |       6
          99 |  102052 |          1 |           0 |       7
         100 |  102053 |          1 |           0 |       8
         101 |  102054 |          1 |           0 |       9
         102 |  102055 |          1 |           0 |       1
         103 |  102056 |          1 |           0 |       2
         104 |  102057 |          1 |           0 |       3
         105 |  102058 |          1 |           0 |       4
         106 |  102059 |          1 |           0 |       5
         107 |  102060 |          1 |           0 |       6
         108 |  102061 |          1 |           0 |       7
         109 |  102062 |          1 |           0 |       8
         110 |  102063 |          1 |           0 |       9
         111 |  102064 |          1 |           0 |       1
         112 |  102065 |          1 |           0 |       2
         113 |  102066 |          1 |           0 |       3
         114 |  102067 |          1 |           0 |       4
         115 |  102068 |          1 |           0 |       5
         116 |  102069 |          1 |           0 |       6
         117 |  102070 |          1 |           0 |       7
         118 |  102071 |          1 |           0 |       8
         119 |  102072 |          1 |           0 |       9
         120 |  102073 |          1 |           0 |       1
         121 |  102074 |          1 |           0 |       2
         122 |  102075 |          1 |           0 |       3
         123 |  102076 |          1 |           0 |       4
         124 |  102077 |          1 |           0 |       5
(124 rows)

