TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
tidb	10.0.1.21:4000	10.0.1.21:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-26 10:58:07	7h26m10.246613967s	632
tidb	10.0.1.20:4000	10.0.1.20:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-26 10:58:07	7h26m10.246621398s	663
tidb	10.0.1.22:4000	10.0.1.22:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-26 10:58:07	7h26m10.2466226s	1594
pd	10.0.1.22:2379	10.0.1.22:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-26 10:57:58	7h26m19.246630171s	0
pd	10.0.1.20:2379	10.0.1.20:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-26 10:57:58	7h26m19.246631233s	0
pd	10.0.1.21:2379	10.0.1.21:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-26 10:57:58	7h26m19.246632685s	0
tikv	10.0.1.38:20160	10.0.1.38:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246634017s	0
tikv	10.0.1.29:20160	10.0.1.29:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246634978s	0
tikv	10.0.1.27:20160	10.0.1.27:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246635649s	0
tikv	10.0.1.26:20160	10.0.1.26:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246636831s	0
tikv	10.0.1.37:20160	10.0.1.37:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246637833s	0
tikv	10.0.1.36:20160	10.0.1.36:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246640567s	0
tikv	10.0.1.34:20160	10.0.1.34:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246641308s	0
tikv	10.0.1.24:20160	10.0.1.24:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246642289s	0
tikv	10.0.1.32:20160	10.0.1.32:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246643171s	0
tikv	10.0.1.23:20160	10.0.1.23:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246643932s	0
tikv	10.0.1.35:20160	10.0.1.35:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246645054s	0
tikv	10.0.1.30:20160	10.0.1.30:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246645975s	0
tikv	10.0.1.31:20160	10.0.1.31:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246646776s	0
tikv	10.0.1.33:20160	10.0.1.33:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246647437s	0
tikv	10.0.1.39:20160	10.0.1.39:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246648759s	0
tikv	10.0.1.25:20160	10.0.1.25:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.24664968s	0
tikv	10.0.1.28:20160	10.0.1.28:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-26 10:58:00	7h26m17.246650412s	0
