 placementid | shardid | shardstate | shardlength | groupid 
-------------+---------+------------+-------------+---------
           1 |  102008 |          1 |           0 |       0
           2 |  102008 |          1 |           0 |       1
           3 |  102008 |          1 |           0 |       2
           4 |  102008 |          1 |           0 |       3
           5 |  102008 |          1 |           0 |       4
           6 |  102009 |          1 |           0 |       0
           7 |  102009 |          1 |           0 |       1
           8 |  102009 |          1 |           0 |       2
           9 |  102009 |          1 |           0 |       3
          10 |  102009 |          1 |           0 |       4
          11 |  102010 |          1 |           0 |       0
          12 |  102010 |          1 |           0 |       1
          13 |  102010 |          1 |           0 |       2
          14 |  102010 |          1 |           0 |       3
          15 |  102010 |          1 |           0 |       4
          16 |  102011 |          1 |           0 |       0
          17 |  102011 |          1 |           0 |       1
          18 |  102011 |          1 |           0 |       2
          19 |  102011 |          1 |           0 |       3
          20 |  102011 |          1 |           0 |       4
          21 |  102012 |          1 |           0 |       0
          22 |  102012 |          1 |           0 |       1
          23 |  102012 |          1 |           0 |       2
          24 |  102012 |          1 |           0 |       3
          25 |  102012 |          1 |           0 |       4
          26 |  102013 |          1 |           0 |       0
          27 |  102013 |          1 |           0 |       1
          28 |  102013 |          1 |           0 |       2
          29 |  102013 |          1 |           0 |       3
          30 |  102013 |          1 |           0 |       4
          31 |  102014 |          1 |           0 |       1
          32 |  102015 |          1 |           0 |       2
          33 |  102016 |          1 |           0 |       3
          34 |  102017 |          1 |           0 |       4
          35 |  102018 |          1 |           0 |       1
          36 |  102019 |          1 |           0 |       2
          37 |  102020 |          1 |           0 |       3
          38 |  102021 |          1 |           0 |       4
          39 |  102022 |          1 |           0 |       1
          40 |  102023 |          1 |           0 |       2
          41 |  102024 |          1 |           0 |       3
          42 |  102025 |          1 |           0 |       4
          43 |  102026 |          1 |           0 |       1
          44 |  102027 |          1 |           0 |       2
          45 |  102028 |          1 |           0 |       3
          46 |  102029 |          1 |           0 |       4
          47 |  102030 |          1 |           0 |       1
          48 |  102031 |          1 |           0 |       2
          49 |  102032 |          1 |           0 |       3
          50 |  102033 |          1 |           0 |       4
          51 |  102034 |          1 |           0 |       1
          52 |  102035 |          1 |           0 |       2
          53 |  102036 |          1 |           0 |       3
          54 |  102037 |          1 |           0 |       4
          55 |  102038 |          1 |           0 |       1
          56 |  102039 |          1 |           0 |       2
          57 |  102040 |          1 |           0 |       3
          58 |  102041 |          1 |           0 |       4
          59 |  102042 |          1 |           0 |       1
          60 |  102043 |          1 |           0 |       2
          61 |  102044 |          1 |           0 |       3
          62 |  102045 |          1 |           0 |       4
          63 |  102046 |          1 |           0 |       1
          64 |  102047 |          1 |           0 |       2
          65 |  102048 |          1 |           0 |       3
          66 |  102049 |          1 |           0 |       4
          67 |  102050 |          1 |           0 |       1
          68 |  102051 |          1 |           0 |       2
          69 |  102052 |          1 |           0 |       3
          70 |  102053 |          1 |           0 |       4
          71 |  102054 |          1 |           0 |       1
          72 |  102055 |          1 |           0 |       2
          73 |  102056 |          1 |           0 |       3
          74 |  102057 |          1 |           0 |       4
          75 |  102058 |          1 |           0 |       1
          76 |  102059 |          1 |           0 |       2
          77 |  102060 |          1 |           0 |       3
          78 |  102061 |          1 |           0 |       4
          79 |  102062 |          1 |           0 |       1
          80 |  102063 |          1 |           0 |       2
          81 |  102064 |          1 |           0 |       3
          82 |  102065 |          1 |           0 |       4
          83 |  102066 |          1 |           0 |       1
          84 |  102067 |          1 |           0 |       2
          85 |  102068 |          1 |           0 |       3
          86 |  102069 |          1 |           0 |       4
          87 |  102070 |          1 |           0 |       1
          88 |  102071 |          1 |           0 |       2
          89 |  102072 |          1 |           0 |       3
          90 |  102073 |          1 |           0 |       4
          91 |  102074 |          1 |           0 |       1
          92 |  102075 |          1 |           0 |       2
          93 |  102076 |          1 |           0 |       3
          94 |  102077 |          1 |           0 |       4
(94 rows)

