 placementid | shardid | shardstate | shardlength | groupid 
-------------+---------+------------+-------------+---------
           1 |  102008 |          1 |           0 |       0
           2 |  102008 |          1 |           0 |       1
           3 |  102008 |          1 |           0 |       2
           4 |  102008 |          1 |           0 |       3
           5 |  102008 |          1 |           0 |       4
           6 |  102008 |          1 |           0 |       5
           7 |  102008 |          1 |           0 |       6
           8 |  102008 |          1 |           0 |       7
           9 |  102008 |          1 |           0 |       8
          10 |  102008 |          1 |           0 |       9
          11 |  102008 |          1 |           0 |      10
          12 |  102008 |          1 |           0 |      11
          13 |  102008 |          1 |           0 |      12
          14 |  102008 |          1 |           0 |      13
          15 |  102008 |          1 |           0 |      14
          16 |  102008 |          1 |           0 |      15
          17 |  102008 |          1 |           0 |      16
          18 |  102008 |          1 |           0 |      17
          19 |  102008 |          1 |           0 |      18
          20 |  102008 |          1 |           0 |      19
          21 |  102009 |          1 |           0 |       0
          22 |  102009 |          1 |           0 |       1
          23 |  102009 |          1 |           0 |       2
          24 |  102009 |          1 |           0 |       3
          25 |  102009 |          1 |           0 |       4
          26 |  102009 |          1 |           0 |       5
          27 |  102009 |          1 |           0 |       6
          28 |  102009 |          1 |           0 |       7
          29 |  102009 |          1 |           0 |       8
          30 |  102009 |          1 |           0 |       9
          31 |  102009 |          1 |           0 |      10
          32 |  102009 |          1 |           0 |      11
          33 |  102009 |          1 |           0 |      12
          34 |  102009 |          1 |           0 |      13
          35 |  102009 |          1 |           0 |      14
          36 |  102009 |          1 |           0 |      15
          37 |  102009 |          1 |           0 |      16
          38 |  102009 |          1 |           0 |      17
          39 |  102009 |          1 |           0 |      18
          40 |  102009 |          1 |           0 |      19
          41 |  102010 |          1 |           0 |       0
          42 |  102010 |          1 |           0 |       1
          43 |  102010 |          1 |           0 |       2
          44 |  102010 |          1 |           0 |       3
          45 |  102010 |          1 |           0 |       4
          46 |  102010 |          1 |           0 |       5
          47 |  102010 |          1 |           0 |       6
          48 |  102010 |          1 |           0 |       7
          49 |  102010 |          1 |           0 |       8
          50 |  102010 |          1 |           0 |       9
          51 |  102010 |          1 |           0 |      10
          52 |  102010 |          1 |           0 |      11
          53 |  102010 |          1 |           0 |      12
          54 |  102010 |          1 |           0 |      13
          55 |  102010 |          1 |           0 |      14
